Year,China,India,Indonesia,United States,Australia,Afghanistan,Albania,Algeria,Argentina,Austria,Bangladesh,Belgium,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Canada,Chile,Colombia,Czechia,Czechoslovakia,Democratic Republic of Congo,Denmark,Eswatini,France,Georgia,Germany,Greece,Hungary,Iran,Ireland,Italy,Japan,Kazakhstan,Kosovo,Kyrgyzstan,Laos,Malaysia,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Netherlands,New Zealand,Niger,Nigeria,North Korea,North Macedonia,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Taiwan,Tajikistan,Tanzania,Thailand,Turkey,USSR,Ukraine,United Kingdom,Uzbekistan,Venezuela,Vietnam,World,Yugoslavia,Zambia,Zimbabwe
1900,0,0.14,0.01,6.59,0.15,0,0,0,0,0.62,,0.63,,0,0,0,0.15,0.01,0,,0.47,0,0,0,0.97,,2.33,0,0.09,0,0,0,0.21,,,,,0,0.01,,0,,0,0,0,0.01,0.03,0,0,0,,0,0,0,0,0.69,0,0,,,,,0.02,0,0.06,0.01,0,,0,0,0.01,0.39,,5.64,,0,0.01,19.26,0.01,0,0
1901,0,0.15,0.01,7.16,0.17,0,0,0,0,0.66,,0.6,,0,0,0,0.17,0.02,0,,0.24,0,0,0,0.94,,2.35,0,0.09,0,0,0,0.25,,,,,0,0.01,,0,,0,0,0,0.01,0.03,0,0,0,,0,0,0,0,0.73,0,0,,,,,0.04,0,0.07,0.01,0,,0,0,0.01,0.4,,5.49,,0,0.01,19.61,0.01,0,0
1902,0,0.17,0.01,7.47,0.16,0,0,0,0,0.63,,0.61,,0,0,0,0.2,0.02,0,,0.24,0,0,0,0.87,,2.32,0,0.08,0,0,0,0.27,,,,,0,0.02,,0,,0,0,0,0.01,0.03,0,0,0,,0,0,0,0,0.71,0,0,,,,,0.06,0,0.07,0.01,0,,0,0,0.01,0.4,,5.69,,0,0,20.08,0.01,0,0
1903,0.02,0.17,0.01,8.73,0.17,0,0,0,0,0.64,,0.64,,0,0,0,0.21,0.02,0,,0.24,0,0,0,1.01,,2.51,0,0.08,0,0,0,0.28,,,,,0,0.02,,0,,0,0,0,0.01,0.03,0,0,0,,0,0,0,0,0.73,0,0,,,,,0.08,0,0.07,0.01,0,,0,0,0.01,0.41,,5.77,,0,0.01,21.91,0.01,0,0
1904,0.02,0.19,0.01,8.59,0.16,0,0,0,0,0.65,,0.61,,0,0,0,0.22,0.02,0,,0.24,0,0,0,0.99,,2.61,0,0.09,0,0,0,0.3,,,,,0,0.02,,0,,0,0,0,0.01,0.04,0,0,0,,0,0,0,0,0.74,0,0,,,,,0.09,0,0.07,0.01,0,,0,0,0.02,0.47,,5.82,,0,0.01,22.03,0.01,0,0
1905,0.03,0.2,0.01,9.59,0.18,0,0,0,0,0.68,,0.58,,0,0,0,0.23,0.02,0,,0.53,0,0,0,1.04,,2.76,0,0.09,0,0,0,0.32,,,,,0,0.02,,0,,0,0,0,0.01,0.04,0,0,0,,0,0,0,0,0.8,0,0,,,,,0.1,0,0.08,0.01,0,,0,0,0.02,0.45,,5.91,,0,0.01,23.75,0.01,0,0
1906,0.19,0.23,0.01,10.11,0.21,0,0,0,0,0.73,,0.63,,0,0,0,0.26,0.03,0,,0.26,0,0,0,0.99,,2.97,0,0.09,0,0,0,0.36,,,,,0,0.02,,0,,0,0,0,0.02,0.04,0,0,0,,0,0,0,0,0.84,0,0,,,,,0.12,0,0.08,0.01,0,,0,0,0.02,0.52,,6.29,,0,0.01,25.08,0.01,0,0
1907,0.19,0.26,0.01,11.73,0.23,0,0,0,0,0.77,,0.64,,0,0,0,0.28,0.02,0,,0.28,0,0,0,1.07,,3.14,0,0.1,0,0,0,0.38,,,,,0,0.02,,0,,0,0,0,0.02,0.04,0,0,0,,0,0,0.01,0,0.92,0,0,,,,,0.13,0,0.09,0.01,0,,0,0,0.02,0.63,,6.71,,0,0.01,27.74,0.01,0,0
1908,0.25,0.3,0.01,10.16,0.24,0,0,0,0,0.78,,0.63,,0,0,0,0.29,0.03,0,,0.29,0,0,0,1.09,,3.24,0,0.1,0,0,0,0.41,,,,,0,0.02,,0,,0,0,0,0.03,0.05,0,0,0,,0,0,0.01,0,0.97,0,0,,,,,0.13,0,0.1,0.01,0,,0,0,0.02,0.62,,6.55,,0,0.01,26.36,0.01,0,0
1909,0.23,0.28,0.01,11.25,0.2,0,0,0,0,0.76,,0.63,,0,0,0,0.28,0.03,0,,0.28,0,0,0,1.1,,3.28,0,0.11,0,0,0,0.42,,,,,0,0.03,,0,,0,0,0,0.03,0.05,0,0,0,,0,0,0.01,0,0.98,0,0,,,,,0.15,0,0.1,0.01,0.01,,0,0,0.02,0.65,,6.61,,0,0.01,27.55,0.01,0,0
1910,0.21,0.28,0.02,12.25,0.23,0,0,0,0,0.75,,0.64,,0,0,0,0.34,0.03,0,,0.58,0,0,0,1.12,,3.32,0,0.11,0,0,0,0.43,,,,,0,0.03,,0,,0,0,0,0.04,0.05,0,0,0,,0,0,0.01,0,0.98,0,0,,,,,0.18,0,0.1,0.01,0.01,,0,0,0.02,0.61,,6.62,,0,0.01,29.02,0.01,0,0
1911,0.31,0.3,0.02,12.12,0.25,0,0,0,0,0.77,,0.62,,0,0,0,0.3,0.03,0,,0.59,0,0,0,1.14,,3.5,0,0.11,0,0,0,0.49,,,,,0,0.03,,0,,0,0,0,0.04,0.05,0,0,0,,0,0,0.01,0,1.05,0,0,,,,,0.17,0,0.09,0.01,0.01,,0,0,0.02,0.65,,6.81,,0,0.01,29.54,0.01,0,0.01
1912,0.11,0.34,0.02,13.05,0.28,0,0,0,0,0.83,,0.62,,0,0,0.01,0.39,0.04,0,,0.63,0,0,0,1.2,,3.87,0,0.12,0,0,0.01,0.54,,,,,0,0.02,,0,,0,0,0,0.05,0.05,0,0,0,,0,0,0.01,0,1.19,0,0,,,,,0.18,0,0.1,0.01,0.01,,0,0,0.02,0.76,,6.52,,0,0.01,31,0.01,0,0.01
1913,0.12,0.38,0.02,13.92,0.3,0,0,0,0,0.86,,0.61,,0,0,0.01,0.4,0.04,0,,0.66,0,0,0,1.19,,4.2,0,0.13,0,0,0.01,0.59,,,,,0,0.01,,0,,0,0,0,0.05,0.05,0,0,0,,0,0,0.01,0,1.25,0,0,,,,,0.2,0,0.1,0.01,0.01,,0,0,0.02,0.83,,7.2,,0,0.01,33.22,0.04,0,0.01
1914,0.17,0.38,0.02,12.54,0.3,0,0,0,0,0.78,,0.45,,0,0,0.01,0.36,0.03,0,,0.6,0,0,0,0.8,,3.65,0,0.11,0,0,0.01,0.62,,,,,0,0.02,,0,,0,0,0,0.06,0.06,0,0,0.01,,0,0,0.01,0,1.04,0,0,,,,,0.19,0,0.11,0.01,0.01,,0,0,0.02,0.78,,6.65,,0,0.02,29.81,0,0,0.01
1915,0.18,0.4,0.02,12.98,0.27,0,0,0,0,0.78,,0.38,,0,0,0.01,0.35,0.03,0,,0.6,0,0,0,0.56,,3.43,0,0.11,0,0,0.01,0.57,,,,,0,0.01,,0,,0,0,0,0.07,0.05,0,0,0.01,,0,0,0.01,0,1.02,0,0,,,,,0.19,0,0.11,0.01,0.01,,0,0,0.01,0.76,,6.34,,0,0.02,29.34,0,0,0.01
1916,0.2,0.4,0.02,14.41,0.24,0,0,0,0,0.55,,0.51,,0,0,0.01,0.39,0.04,0,,0.64,0,0,0,0.62,,3.71,0,0.11,0,0,0.01,0.63,,,,,0,0.01,,0,,0,0,0,0.08,0.06,0,0,0.01,,0,0,0.01,0,1.17,0,0,,,,,0.23,0,0.13,0.01,0.02,,0,0,0.01,0.81,,6.42,,0,0.02,31.47,0,0,0.01
1917,0.22,0.42,0.02,15.9,0.24,0,0,0,0,0.03,,0.4,,0,0,0.01,0.37,0.04,0,,0.6,0,0,0,0.83,,3.87,0,0.11,0,0,0.02,0.73,,,,,0,0.01,,0,,0,0,0,0.09,0.05,0,0,0,,0,0,0.01,0,1.31,0.01,0,,,,,0.24,0,0.14,0.01,0.02,,0,0,0,0.75,,6.22,,0,0.02,32.77,0,0,0.01
1918,0.23,0.48,0.02,16.56,0.26,0,0,0,0,0.03,,0.37,,0,0.01,0.01,0.45,0.04,0,,0.51,0,0,0,0.75,,3.75,0,0.1,0,0,0.02,0.78,,,,,0,0.02,,0,,0,0,0,0.12,0.05,0,0,0.01,,0,0,0.01,0,1.1,0.01,0,,,,,0.23,0,0.17,0.01,0.02,,0,0,0.01,0.3,,5.7,,0,0.02,32.19,0,0,0.01
1919,0.27,0.53,0.03,13.53,0.25,0,0,0,0,0.03,,0.5,,0,0.01,0.01,0.42,0.04,0,,0.48,0,0,0,0.65,,2.94,0,0.05,0,0,0.01,0.87,,,,,0.01,0.01,,0,,0,0,0,0.12,0.05,0,0,0.01,,0,0,0.01,0,0,0,0.02,,,,,0.24,0,0.15,0.01,0.03,,0,0,0.01,0.21,,5.75,,0,0.02,27.3,0.03,0,0.01
1920,0.3,0.42,0,16.08,0.31,0,0,0,0,0.04,,0.6,,0,0.01,0.01,0.51,0.03,0,,0.54,0,0,0,0.73,,3.36,0,0.06,0,0,0.02,0.81,,,,,0.01,0.01,,0,,0,0,0,0.14,0.04,0,0.01,0.01,,0,0,0.01,0,0.74,0,0.02,,,,,0.27,0,0.14,0.01,0.03,,0,0,0.02,0.19,,5.75,,0,0.02,31.29,0.03,0,0.02
1921,0.28,0.45,0.04,12.37,0.31,0,0,0,0,0.04,,0.58,,0,0.01,0.01,0.45,0.04,0,,0.58,0,0,0,0.84,,3.55,0,0.08,0,0,0.01,0.73,,,,,0.01,0.02,,0,,0,0,0,0.13,0.04,0,0.01,0.01,,0,0,0.01,0,0.71,0,0.02,,,,,0.26,0,0.13,0.01,0.03,,0,0,0.01,0.2,,4.09,,0,0.03,26.13,0.04,0,0.02
1922,0.29,0.44,0.03,11.65,0.29,0,0,0,0,0.05,,0.57,,0,0.01,0.02,0.46,0.03,0,,0.51,0,0,0,0.93,,3.37,0,0.09,0,0,0.01,0.77,,,,,0.01,0,,0,,0,0,0,0.14,0.04,0,0,0.01,,0.01,0,0.01,0,0.83,0,0.03,,,,,0.23,0,0.11,0.01,0.04,,0,0,0.01,0.25,,6.25,,0,0.03,27.58,0.04,0,0.01
1923,0.36,0.46,0.03,16.07,0.3,0,0,0,0,0.04,,0.61,,0,0.01,0.02,0.51,0.03,0,,0.52,0,0,0,1.12,,2.18,0,0.1,0,0,0.01,0.8,,,,,0.01,0.03,,0,,0,0,0,0.16,0.04,0,0.01,0.01,,0.01,0,0.01,0,0.86,0,0.03,,,,,0.27,0,0.15,0.01,0.04,,0,0,0.02,0.28,,6.91,,0,0.03,32.12,0.05,0,0.02
1924,0.39,0.49,0.04,13.96,0.33,0,0,0,0,0.04,,0.63,,0,0.01,0.02,0.42,0.04,0,,0.63,0,0,0,1.31,,3.25,0,0.09,0,0,0.01,0.83,,,,,0.01,0.03,,0,,0,0,0,0.18,0.04,0,0.01,0.01,,0.01,0,0,0,0.77,0,0.03,,,,,0.29,0,0.16,0.01,0.04,,0,0,0.03,0.37,,6.68,,0,0.04,31.28,0.05,0,0.02
1925,0.37,0.49,0.04,14.21,0.33,0,0,0,0,0.05,,0.62,,0,0.01,0.02,0.41,0.04,0,,0.56,0,0,0,1.4,,3.64,0,0.08,0,0,0.02,0.87,,,,,0.01,0.03,,0,,0,0,0,0.21,0.04,0,0.01,0.02,,0.01,0,0,0,0.69,0,0.03,,,,,0.3,0,0.16,0.01,0.05,,0,0,0.03,0.38,,6.12,,0,0.04,31.36,0.05,0,0.02
1926,0.33,0.49,0.04,16.06,0.33,0,0,0,0,0.05,,0.68,,0,0.01,0.02,0.5,0.04,0,,0.61,0,0,0,1.52,,3.86,0,0.08,0,0,0.02,0.87,,,,,0.01,0.03,,0,,0,0,0,0.26,0.05,0,0.01,0.02,,0.01,0,0.01,0,0.85,0.01,0.04,,,,,0.31,0,0.17,0.01,0.05,,0,0,0.03,0.59,,3.14,,0,0.04,31.22,0.05,0,0.03
1927,0.37,0.51,0.05,14.6,0.34,0,0,0,0,0.05,,0.74,,0,0.01,0.02,0.52,0.04,0,,0.63,0,0,0,1.54,,4.1,0,0.09,0,0,0.01,0.93,,,,,0.01,0.02,,0,,0,0,0,0.28,0.05,0,0.01,0.02,,0.01,0,0,0,0.9,0.01,0.04,,,,,0.31,0,0.17,0.01,0.05,,0,0,0.04,0.74,,6.29,,0,0.04,33.64,0.06,0,0.03
1928,0.38,0.52,0.05,14.07,0.3,0,0,0,0,0.05,,0.74,,0,0.01,0.02,0.53,0.04,0,,0.63,0,0,0,1.52,,4.19,0,0.09,0,0,0.01,0.94,,,,,0.02,0.02,,0,,0,0,0,0.32,0.05,0,0.01,0.02,,0.01,0,0.01,0,0.96,0.01,0.04,,,,,0.31,0,0.16,0.01,0.05,,0,0,0.03,0.82,,5.95,,0,0.06,33.04,0.06,0,0.03
1929,0.39,0.54,0.05,14.87,0.26,0,0,0,0,0.06,,0.72,,0,0.01,0.03,0.53,0.04,0,,0.71,0,0,0,1.6,,4.5,0,0.1,0,0,0.01,0.95,,,,,0.02,0.02,,0,,0,0,0,0.34,0.05,0,0.01,0.03,,0.01,0,0.01,0,1.1,0.01,0.04,,,,,0.32,0,0.18,0.01,0.04,,0,0,0.04,0.92,,6.46,,0,0.06,35.14,0.07,0,0.03
1930,0.42,0.55,0.05,13.11,0.25,0,0,0,0,0.05,,0.74,,0,0.01,0.02,0.45,0.04,0,,0.61,0,0,0,1.6,,3.87,0,0.09,0,0,0.01,0.87,,,,,0.02,0.03,,0,,0,0,0,0.36,0.05,0,0.01,0.03,,0.01,0,0.01,0,0.89,0.01,0.03,,,,,0.3,0,0.18,0.01,0.05,,0,0,0.04,1.1,,6.11,,0,0.06,32.11,0.06,0,0.03
1931,0.44,0.51,0.04,10.79,0.22,0,0,0,0,0.05,,0.73,,0,0.01,0.02,0.34,0.03,0,,0.56,0,0,0,1.48,,3.33,0,0.09,0,0,0.01,0.77,,,,,0.01,0.02,,0,,0,0,0,0.38,0.05,0,0.01,0.03,,0.01,0,0,0,0.91,0.01,0.02,,,,,0.26,0,0.18,0.01,0.04,,0,0,0.04,1.29,,5.5,,0,0.05,28.32,0.06,0,0.02
1932,0.42,0.47,0.03,8.78,0.23,0,0,0,0,0.05,,0.57,,0,0.01,0.03,0.33,0.03,0,,0.48,0,0,0,1.37,,2.98,0,0.09,0,0,0.01,0.78,,,,,0.01,0.01,,0,,0,0,0,0.38,0.04,0,0.01,0.03,,0.01,0,0,0,0.68,0.01,0.02,,,,,0.24,0,0.17,0.01,0.04,,0,0,0.04,1.46,,5.23,,0,0.05,25.18,0.06,0,0.01
1933,0.46,0.46,0.03,9.36,0.24,0,0,0,0,0.05,,0.68,,0,0.01,0.02,0.33,0.04,0,,0.46,0,0,0,1.39,,3.11,0,0.09,0,0,0.01,0.9,,,,,0.01,0.01,,0,,0,0,0,0.37,0.04,0,0.01,0.04,,0.01,0,0,0,0.65,0.01,0.02,,,,,0.26,0,0.15,0.01,0.04,,0,0,0.05,1.73,,5.19,,0,0.05,26.36,0.05,0,0.01
1934,0.54,0.51,0.03,10.17,0.25,0,0,0,0,0.05,,0.71,,0,0.02,0.03,0.38,0.05,0.01,,0.46,0,0,0,1.41,,3.47,0,0.09,0,0,0.02,0.99,,,,,0.01,0.02,,0,,0,0,0,0.36,0.04,0,0.01,0.05,,0.01,0,0,0,0.69,0.01,0.02,,,,,0.3,0,0.15,0.01,0.04,,0,0,0.06,2.13,,5.53,,0,0.05,28.77,0.05,0,0.02
1935,0.63,0.54,0.03,10.38,0.28,0,0,0,0,0.05,,0.71,,0,0.02,0.03,0.38,0.05,0.01,,0.47,0,0,0,1.37,,3.89,0,0.1,0,0,0.02,1.04,,,,,0.01,0.03,,0,,0,0,0,0.35,0.05,0,0.01,0.06,,0.01,0,0,0,0.68,0.01,0.02,,,,,0.33,0,0.17,0.01,0.05,,0,0,0.06,2.46,,5.57,,0,0.05,30,0.05,0,0.02
1936,0.71,0.53,0.03,12.07,0.3,0,0,0,0,0.05,,0.75,,0,0.01,0.03,0.42,0.05,0.01,,0.51,0,0,0,1.34,,4.29,0,0.1,0,0,0.04,1.16,,,,,0.01,0.03,,0,,0,0,0,0.38,0.05,0,0.01,0.07,,0.01,0,0,0,0.71,0.01,0.02,,,,,0.36,0,0.08,0.01,0.05,,0,0,0.06,2.84,,5.72,,0,0.06,32.96,0.06,0,0.02
1937,0.66,0.58,0.04,12.16,0.32,0,0,0,0,0.05,,0.8,,0,0.02,0.03,0.44,0.06,0.01,,0.65,0,0,0,1.32,,4.97,0,0.11,0,0,0.05,1.25,,,,,0.02,0.03,,0,,0,0,0,0.42,0.05,0,0.01,0.07,,0.01,0,0,0,0.86,0.01,0.03,,,,,0.38,0,0.06,0.01,0.06,,0,0,0.06,2.86,,6.02,,0,0.07,34.63,0.06,0,0.03
1938,0.6,0.66,0.04,9.65,0.32,0,0,0,0,0.05,,0.79,,0,0.02,0.03,0.4,0.06,0.01,,0.6,0,0,0,1.38,,5.1,0,0.12,0,0,0.06,1.35,,,,,0.01,0.02,,0,,0,0,0,0.4,0.05,0,0.01,0.1,,0.01,0,0,0,0.9,0.01,0.03,,,,,0.4,0,0.14,0.01,0.06,,0,0,0.07,2.98,,5.68,,0,0.07,32.31,0.07,0,0.03
1939,0.73,0.65,0.05,10.91,0.36,0,0,0,0,0.06,,0.8,,0,0.02,0.04,0.43,0.05,0.01,,0.72,0,0,0,1.46,,5.04,0,0.13,0,0,0.08,1.41,,,,,0.01,0.02,,0,,0,0,0,0.38,0.05,0,0.01,0.12,,0.01,0,0,0,0.55,0.01,0.03,,,,,0.41,0,0.16,0.01,0.08,,0,0,0.07,3.26,,5.79,,0,0.08,34.13,0.07,0,0.03
1940,0.93,0.68,0.06,12.52,0.32,0,0,0,0,0.06,,0.68,,0,0.03,0.04,0.48,0.06,0.02,,0.81,0,0,0,1.18,,5.12,0,0.14,0,0,0.1,1.56,,,,,0.02,0.02,,0,,0,0,0,0.36,0.05,0,0.01,0.17,,0.01,0,0,0,1.83,0.01,0.03,,,,,0.42,0,0.23,0.01,0.08,,0,0,0.08,3.67,,5.62,,0,0.07,37.64,0.08,0,0.04
