Year,Oil_Discoveries_backdated,Oil_Production_backdated,Oil_Reserves_backdated,Oil_Discoveries,Oil_Production,Oil_Reserves,Gas_Discoveries,Gas_Production,Gas_Reserves,Coal_Discoveries,Coal_Production,Coal_Reserves
1900,,,,366.85,0.85,366.0,0.265825512,0.265825512,0.0,19.360000000000003,19.26,0.10000000000000142
1901,29.97845,1.5373829999999997,28.441067,2.2969995340187217,1.7999999999999998,0.4969995340187219,0.6604065419999999,0.560406542,0.09999999999999998,38.970000000000006,38.870000000000005,0.10000000000000142
1902,37.6652186793,2.3322502953999997,35.332968383899996,2.93,2.83,0.10000000000000009,0.983743076,0.883743076,0.09999999999999998,59.050000000000004,58.95,0.10000000000000142
1903,39.202572417599995,3.1271175908,36.0754548268,4.03,3.93,0.10000000000000009,1.335835118,1.235835118,0.10000000000000009,80.96,80.86,0.09999999999999432
1904,53.0387560379,3.9180784279000003,49.12067761,5.26,5.16,0.09999999999999964,18.727509676454908,1.616682664,17.11082701245491,102.99,102.89,0.09999999999999432
1905,66.87493964599999,4.7129457233,62.161993922699985,15.041117345711031,6.37,8.671117345711032,18.796737590541756,2.026285714,16.770451876541756,126.74,126.64,0.09999999999999432
1906,70.71832400699999,5.507813018699999,65.21051098829999,15.459776973812597,7.58,7.8797769738125965,18.865940075487483,2.464644272,16.401295803487482,151.82,151.72,0.09999999999999432
1907,74.56170830699999,6.3795389172,68.1821693898,15.459776973812602,9.07,6.389776973812602,18.865940075487483,2.9317583120000004,15.934181763487484,179.56,179.46,0.09999999999999432
1908,78.405092668,8.2543210973,70.15077157069999,15.459776973812607,10.68,4.7797769738126075,19.434086313167583,3.4276278920000003,16.006458421167583,205.92,205.82,0.09999999999999432
1909,89.93524569,10.2184322813,79.7168134087,16.079395535208132,12.379999999999999,3.699395535208133,19.434086313167583,3.9522529760000005,15.481833337167583,233.47,233.37,0.09999999999999432
1910,107.61481365299998,12.169596196999999,95.44521745599998,16.07939553520814,14.229999999999999,1.8493955352081404,20.42784936017451,4.519573376,15.908275984174509,262.49,262.39,0.10000000000002274
1911,123.75702783499999,14.133707380999999,109.623320454,17.93732024393879,16.18,1.7573202439387892,20.635040901858,5.117048564,15.517992337858,292.03000000000003,291.93,0.10000000000002274
1912,136.05585771699998,16.097818565,119.95803915199998,19.79475566683326,18.169999999999998,1.6247556668332628,37.02365622252297,5.74467854,31.278977682522974,323.03000000000003,322.93,0.10000000000002274
1913,145.279980159,18.061929748999997,127.21805040999999,20.46,20.36,0.10000000000000142,37.42433567908057,6.402463303999999,31.02187237508057,356.25,356.15,0.10000000000002274
1914,159.116163761,20.026040932999997,139.090122828,22.72,22.619999999999997,0.10000000000000142,39.2332231188929,7.0904028199999996,32.1428202988929,386.06,385.96,0.10000000000002274
1915,171.41499364299997,22.0226075818,149.39238606119997,25.14,25.04,0.10000000000000142,40.90337255054207,7.808497124,33.094875426542075,415.4,415.29999999999995,0.10000000000002274
1916,189.86323846599998,24.967555742499997,164.8956827235,30.927475409327336,27.64,3.2874754093273353,49.263337743851885,8.556746252,40.70659149185188,446.87,446.77,0.10000000000002274
1917,201.393391488,28.042448616399998,173.35094287159998,31.5457183078036,30.51,1.0357183078035987,51.32586133386396,9.335150168,41.990711165863964,479.64,479.53999999999996,0.10000000000002274
1918,211.00185235999996,31.117341490299996,179.88451086969997,35.07406926838921,33.36,1.7140692683892098,51.84820603929051,10.143708872,41.70449716729051,511.83,511.72999999999996,0.10000000000002274
1919,227.91274346299997,34.1957368012,193.71700666179999,36.92758247744768,36.61,0.3175824774476794,52.05459525087616,10.982422364,41.07217288687616,539.13,539.03,0.10000000000002274
1920,248.66701886599998,38.1119369049,210.55508196109997,40.87,40.769999999999996,0.10000000000000142,54.296673030135786,11.851290643999999,42.44538238613579,570.42,570.3199999999999,0.10000000000002274
1921,263.271879328,42.2457914746,221.0260878534,45.37,45.269999999999996,0.10000000000000142,54.43411189555029,12.750313676,41.68379821955029,596.55,596.4499999999999,0.10000000000002274
1922,279.029755141,47.3672316889,231.6625234521,50.4,50.3,0.10000000000000142,56.20807489959505,13.710023816,42.498051083595044,624.13,624.03,0.10000000000002274
1923,300.552707404,53.4113572383,247.14135016569998,56.339999999999996,56.239999999999995,0.10000000000000142,56.49069824488154,14.834471107999999,41.65622713688154,656.25,656.15,0.10000000000002274
